nombre_curso,genero_1masc_2feme,periodo,curso,año,año_ingreso_a_la_carrera,zona,nota_total,nombre_area,año_nacimiento
ECONOMIA,1,5,14,2012,2011,60,74,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,5,14,2012,2009,34,34,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,5,14,2012,2007,51,68,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,5,14,2012,2011,54,65,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,5,14,2012,2009,45,57,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,2008,56,73,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2009,0,0,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2009,36,49,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,2008,0,0,METODOLOGIA DE SISTEMAS,1986
ECONOMIA,1,5,14,2012,2011,48,61,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,5,14,2012,2001,0,0,METODOLOGIA DE SISTEMAS,1983
ECONOMIA,1,5,14,2012,2007,54,73,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2000,55,71,METODOLOGIA DE SISTEMAS,1981
ECONOMIA,1,5,14,2012,2010,62,78,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,5,14,2012,2009,0,0,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,2010,42,52,METODOLOGIA DE SISTEMAS,1993
ECONOMIA,1,5,14,2012,2008,38,50,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,2007,36,36,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2010,42,61,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,5,14,2012,2009,45,45,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,5,14,2012,2009,54,65,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2010,50,50,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,5,14,2012,2007,42,54,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2009,59,66,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2009,0,0,METODOLOGIA DE SISTEMAS,1988
ECONOMIA,1,5,14,2012,2009,44,44,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,2009,0,0,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,5,14,2012,2007,40,56,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2010,59,74,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2006,26,26,METODOLOGIA DE SISTEMAS,1987
ECONOMIA,1,5,14,2012,2011,61,86,METODOLOGIA DE SISTEMAS,1992
ECONOMIA,1,5,14,2012,2010,42,50,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,2,5,14,2012,2008,42,55,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2010,53,72,METODOLOGIA DE SISTEMAS,1991
ECONOMIA,1,5,14,2012,2009,20,20,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,2010,59,75,METODOLOGIA DE SISTEMAS,1990
ECONOMIA,1,5,14,2012,1996,44,64,METODOLOGIA DE SISTEMAS,1977
ECONOMIA,1,5,14,2012,2007,51,69,METODOLOGIA DE SISTEMAS,1989
ECONOMIA,1,5,14,2012,2008,44,44,METODOLOGIA DE SISTEMAS,1990
