"","curso","nombre_curso","genero","periodo","anio_asignacion","anio_ingreso","zona","nota_total","nombre_area","anio_nacimiento","semestre","creditos","obligaroriedad"
"1",14,"ECONOMIA",1,5,2012,2012,60,74,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"2",14,"ECONOMIA",1,5,2012,2012,34,34,"METODOLOGIA DE SISTEMAS",1987,6,4,"Si"
"3",14,"ECONOMIA",1,5,2012,2012,51,68,"METODOLOGIA DE SISTEMAS",1988,6,4,"Si"
"4",14,"ECONOMIA",1,5,2012,2012,54,65,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"5",14,"ECONOMIA",1,5,2012,2012,45,57,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"6",14,"ECONOMIA",1,5,2012,2012,56,73,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"7",14,"ECONOMIA",1,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"8",14,"ECONOMIA",1,5,2012,2012,36,49,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"9",14,"ECONOMIA",1,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1986,6,4,"Si"
"10",14,"ECONOMIA",1,5,2012,2012,48,61,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"11",14,"ECONOMIA",1,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1983,6,4,"Si"
"12",14,"ECONOMIA",1,5,2012,2012,54,73,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"13",14,"ECONOMIA",1,5,2012,2012,55,71,"METODOLOGIA DE SISTEMAS",1981,6,4,"Si"
"14",14,"ECONOMIA",1,5,2012,2012,62,78,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"15",14,"ECONOMIA",1,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"16",14,"ECONOMIA",1,5,2012,2012,42,52,"METODOLOGIA DE SISTEMAS",1993,6,4,"Si"
"17",14,"ECONOMIA",1,5,2012,2012,38,50,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"18",14,"ECONOMIA",1,5,2012,2012,36,36,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"19",14,"ECONOMIA",1,5,2012,2012,42,61,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"20",14,"ECONOMIA",1,5,2012,2012,45,45,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"21",14,"ECONOMIA",1,5,2012,2012,54,65,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"22",14,"ECONOMIA",1,5,2012,2012,50,50,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"23",14,"ECONOMIA",1,5,2012,2012,42,54,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"24",14,"ECONOMIA",1,5,2012,2012,59,66,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"25",14,"ECONOMIA",1,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1988,6,4,"Si"
"26",14,"ECONOMIA",1,5,2012,2012,44,44,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"27",14,"ECONOMIA",1,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"28",14,"ECONOMIA",1,5,2012,2012,40,56,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"29",14,"ECONOMIA",1,5,2012,2012,59,74,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"30",14,"ECONOMIA",1,5,2012,2012,26,26,"METODOLOGIA DE SISTEMAS",1987,6,4,"Si"
"31",14,"ECONOMIA",1,5,2012,2012,61,86,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"32",14,"ECONOMIA",1,5,2012,2012,42,50,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"33",14,"ECONOMIA",2,5,2012,2012,42,55,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"34",14,"ECONOMIA",1,5,2012,2012,53,72,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"35",14,"ECONOMIA",1,5,2012,2012,20,20,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"36",14,"ECONOMIA",1,5,2012,2012,59,75,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"37",14,"ECONOMIA",1,5,2012,2012,44,64,"METODOLOGIA DE SISTEMAS",1977,6,4,"Si"
"38",14,"ECONOMIA",1,5,2012,2012,51,69,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"39",14,"ECONOMIA",1,5,2012,2012,44,44,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"40",14,"ECONOMIA",1,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1987,6,4,"Si"
"41",14,"ECONOMIA",1,5,2012,2012,57,78,"METODOLOGIA DE SISTEMAS",1986,6,4,"Si"
"42",14,"ECONOMIA",1,5,2012,2012,42,56,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"43",14,"ECONOMIA",2,5,2012,2012,26,26,"METODOLOGIA DE SISTEMAS",1988,6,4,"Si"
"44",14,"ECONOMIA",2,5,2012,2012,51,61,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"45",14,"ECONOMIA",1,5,2012,2012,55,74,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"46",14,"ECONOMIA",1,5,2012,2012,38,38,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"47",14,"ECONOMIA",1,5,2012,2012,56,78,"METODOLOGIA DE SISTEMAS",1993,6,4,"Si"
"48",14,"ECONOMIA",1,5,2012,2012,29,29,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"49",14,"ECONOMIA",2,5,2012,2012,50,70,"METODOLOGIA DE SISTEMAS",1993,6,4,"Si"
"50",14,"ECONOMIA",1,5,2012,2012,49,70,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"51",14,"ECONOMIA",2,5,2012,2012,53,71,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"52",14,"ECONOMIA",2,5,2012,2012,44,57,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"53",14,"ECONOMIA",1,5,2012,2012,51,69,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"54",14,"ECONOMIA",1,5,2012,2012,40,40,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"55",14,"ECONOMIA",1,5,2012,2012,56,77,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"56",14,"ECONOMIA",1,5,2012,2012,54,77,"METODOLOGIA DE SISTEMAS",1980,6,4,"Si"
"57",14,"ECONOMIA",2,5,2012,2012,54,66,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"58",14,"ECONOMIA",1,5,2012,2012,65,87,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"59",14,"ECONOMIA",1,5,2012,2012,52,52,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"60",14,"ECONOMIA",1,5,2012,2012,50,68,"METODOLOGIA DE SISTEMAS",1986,6,4,"Si"
"61",14,"ECONOMIA",1,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1984,6,4,"Si"
"62",14,"ECONOMIA",1,5,2012,2012,58,76,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"63",14,"ECONOMIA",1,5,2012,2012,67,83,"METODOLOGIA DE SISTEMAS",1993,6,4,"Si"
"64",14,"ECONOMIA",1,5,2012,2012,36,50,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"65",14,"ECONOMIA",1,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"66",14,"ECONOMIA",1,5,2012,2012,49,58,"METODOLOGIA DE SISTEMAS",1986,6,4,"Si"
"67",14,"ECONOMIA",2,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1984,6,4,"Si"
"68",14,"ECONOMIA",1,5,2012,2012,54,69,"METODOLOGIA DE SISTEMAS",1986,6,4,"Si"
"69",14,"ECONOMIA",1,5,2012,2012,41,57,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"70",14,"ECONOMIA",1,5,2012,2012,51,51,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"71",14,"ECONOMIA",1,5,2012,2012,45,56,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"72",14,"ECONOMIA",1,5,2012,2012,49,49,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"73",14,"ECONOMIA",1,5,2012,2012,56,72,"METODOLOGIA DE SISTEMAS",1988,6,4,"Si"
"74",14,"ECONOMIA",1,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1985,6,4,"Si"
"75",14,"ECONOMIA",1,5,2012,2012,66,88,"METODOLOGIA DE SISTEMAS",1993,6,4,"Si"
"76",14,"ECONOMIA",1,5,2012,2012,31,31,"METODOLOGIA DE SISTEMAS",1986,6,4,"Si"
"77",14,"ECONOMIA",1,5,2012,2012,54,69,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"78",14,"ECONOMIA",1,5,2012,2012,42,57,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"79",14,"ECONOMIA",1,5,2012,2012,0,0,"METODOLOGIA DE SISTEMAS",1988,6,4,"Si"
"80",14,"ECONOMIA",2,5,2012,2012,55,55,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"81",14,"ECONOMIA",1,5,2012,2012,49,61,"METODOLOGIA DE SISTEMAS",1986,6,4,"Si"
"82",14,"ECONOMIA",1,1,2012,2012,50,62,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"83",14,"ECONOMIA",1,1,2012,2012,52,71,"METODOLOGIA DE SISTEMAS",1988,6,4,"Si"
"84",14,"ECONOMIA",1,1,2012,2012,51,70,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"85",14,"ECONOMIA",1,1,2012,2012,51,61,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"86",14,"ECONOMIA",1,5,2012,2012,41,55,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"87",14,"ECONOMIA",1,1,2012,2012,55,55,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"88",14,"ECONOMIA",2,1,2012,2012,52,69,"METODOLOGIA DE SISTEMAS",1990,6,4,"Si"
"89",14,"ECONOMIA",2,5,2012,2012,50,72,"METODOLOGIA DE SISTEMAS",1992,6,4,"Si"
"90",14,"ECONOMIA",1,1,2012,2012,49,61,"METODOLOGIA DE SISTEMAS",1989,6,4,"Si"
"91",14,"ECONOMIA",1,1,2012,2012,46,56,"METODOLOGIA DE SISTEMAS",1986,6,4,"Si"
"92",14,"ECONOMIA",2,1,2012,2012,48,67,"METODOLOGIA DE SISTEMAS",1991,6,4,"Si"
"93",14,"ECONOMIA",1,1,2012,2012,56,73,"METODOLOGIA DE SISTEMAS",1993,6,4,"Si"
